"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"OrangeHRM","PIM - Employee Management","Employee list filtering","0","0","2","0","0"
"OrangeHRM","PIM - Employee Management","Employee edit is persisted","0","0","2","0","0"
"OrangeHRM","Leave","Apply for leave","0","0","1","0","0"
"OrangeHRM","Negative validation","Required field validation","0","0","1","0","0"
"OrangeHRM","Leave","Submit a leave request","0","0","2","0","0"
"OrangeHRM","PIM - Employee Management","Employee creation is persisted","0","0","2","0","0"
"OrangeHRM","Leave","Leave prerequisites","0","0","1","0","0"
"OrangeHRM","Authentication","Successful login","0","0","1","0","0"
"OrangeHRM","Negative validation","Invalid employee data","0","0","1","0","0"
"OrangeHRM","PIM - Employee Management","Employee creation","0","0","1","0","0"
"OrangeHRM","Negative validation","Invalid leave request","0","0","1","0","0"
"OrangeHRM","PIM - Employee Management","Employee search","0","0","1","0","0"
"OrangeHRM","Negative validation","Authentication validation","0","0","1","0","0"
"OrangeHRM","Authentication","Login page is displayed","0","0","1","0","0"
"OrangeHRM","PIM - Employee Management","Employee edit","0","0","1","0","0"
