"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 22 17:57:30 EEST 2026","Sat Aug 22 17:57:37 EEST 2026","6869","OrangeHRM Full Regression","Employee Lifecycle","Tests.EmployeeTest","Tests.EmployeeTest","filterEmployeeListByTwoCriteria","Two filter criteria applied together return only matching data","Step 7a: filter by Employment Status AND Job Title, then verify the DATA in every returned row honours both criteria."
"passed","Sat Aug 22 17:57:13 EEST 2026","Sat Aug 22 17:57:19 EEST 2026","6016","OrangeHRM Full Regression","Employee Lifecycle","Tests.EmployeeTest","Tests.EmployeeTest","updatedInformationSurvivesRefresh","The updated values survive a page refresh","Step 6a: reload the record and confirm the edit did not revert."
"passed","Sat Aug 22 17:57:19 EEST 2026","Sat Aug 22 17:57:30 EEST 2026","10971","OrangeHRM Full Regression","Employee Lifecycle","Tests.EmployeeTest","Tests.EmployeeTest","updatedInformationSurvivesNavigationAway","The updated values survive navigating away and back","Step 6b: leave the employee record entirely, return to it, and confirm the update is still there -- including in the employee list, which reads from a different query."
"passed","Sat Aug 22 17:58:11 EEST 2026","Sat Aug 22 17:58:17 EEST 2026","6438","OrangeHRM Full Regression","Leave","Tests.LeaveTest","Tests.LeaveTest","applyLeaveScreenMatchesEntitlementState","Apply Leave renders correctly for the account entitlement state","Documents the environment constraint that makes the self-service Apply screen unusable for the Admin account, and pins it so a change in entitlement is noticed."
"passed","Sat Aug 22 17:59:35 EEST 2026","Sat Aug 22 17:59:58 EEST 2026","23590","OrangeHRM Full Regression","Negative Validation","Tests.NegativeTest","Tests.NegativeTest","cannotCreateEmployeeWithoutLastName","Creating an employee without a last name is rejected","Example A: submit Add Employee with the required Last Name empty. Expect an inline 'Required' message, no navigation, and no employee created."
"passed","Sat Aug 22 17:59:09 EEST 2026","Sat Aug 22 17:59:16 EEST 2026","6931","OrangeHRM Full Regression","Leave","Tests.LeaveTest","Tests.LeaveTest","submittedLeaveCanBeFound","The submitted leave request can be located afterwards","Step 8b: find the submitted request in the Leave List and verify its employee, type, date range and day count -- proving it was persisted, not just announced."
"passed","Sat Aug 22 17:56:47 EEST 2026","Sat Aug 22 17:56:52 EEST 2026","4958","OrangeHRM Full Regression","Employee Lifecycle","Tests.EmployeeTest","Tests.EmployeeTest","createdEmployeeIsFoundInEmployeeList","The created employee can be found again in the employee list","Step 4a: prove persistence by finding the new employee through the employee list, not by trusting the creation toast."
"passed","Sat Aug 22 17:58:17 EEST 2026","Sat Aug 22 17:58:57 EEST 2026","40074","OrangeHRM Full Regression","Leave","Tests.LeaveTest","Tests.LeaveTest","createEmployeeWithLeaveEntitlement","An employee is created and entitled so leave can be assigned to them","Creates a dedicated employee and grants a leave entitlement, so the leave request does not depend on pre-existing shared data."
"passed","Sat Aug 22 17:56:17 EEST 2026","Sat Aug 22 17:56:20 EEST 2026","2720","OrangeHRM Full Regression","Authentication","Tests.LoginTest","Tests.LoginTest","validLoginLandsOnDashboard","Valid credentials sign in and land on the dashboard","Step 1b: login succeeds, the dashboard renders, and the signed-in user is identified."
"passed","Sat Aug 22 17:56:52 EEST 2026","Sat Aug 22 17:57:00 EEST 2026","8065","OrangeHRM Full Regression","Employee Lifecycle","Tests.EmployeeTest","Tests.EmployeeTest","openCreatedEmployeeRecordAndValidateDetails","The created employee record opens and shows the data it was created with","Step 4b: open the record from the list and verify name, employee id and that the detail tabs are reachable."
"passed","Sat Aug 22 17:59:58 EEST 2026","Sat Aug 22 18:00:17 EEST 2026","18999","OrangeHRM Full Regression","Negative Validation","Tests.NegativeTest","Tests.NegativeTest","cannotCreateEmployeeWithOverlongFirstName","An over-length name is rejected by the employee form","Example B: enter a first name beyond the field's 30-character limit and expect the form to reject it rather than silently truncating or storing it."
"passed","Sat Aug 22 17:56:38 EEST 2026","Sat Aug 22 17:56:47 EEST 2026","9299","OrangeHRM Full Regression","Employee Lifecycle","Tests.EmployeeTest","Tests.EmployeeTest","createNewEmployee","A new employee is created from generated data","Step 3: create an employee with runtime-generated data and verify the success notification and the generated employee id."
"passed","Sat Aug 22 17:58:57 EEST 2026","Sat Aug 22 17:59:09 EEST 2026","11807","OrangeHRM Full Regression","Leave","Tests.LeaveTest","Tests.LeaveTest","submitLeaveRequest","A leave request is submitted for calculated dates","Step 8a: submit a leave request using a runtime-calculated date range and verify the success notification."
"passed","Sat Aug 22 17:57:37 EEST 2026","Sat Aug 22 17:57:43 EEST 2026","6279","OrangeHRM Full Regression","Employee Lifecycle","Tests.EmployeeTest","Tests.EmployeeTest","resetRestoresFullResultSet","Clearing the filters restores the full result set","Step 7b: Reset clears every criterion and the unfiltered total returns."
"passed","Sat Aug 22 18:00:17 EEST 2026","Sat Aug 22 18:00:42 EEST 2026","24913","OrangeHRM Full Regression","Negative Validation","Tests.NegativeTest","Tests.NegativeTest","cannotAssignLeaveWithEndDateBeforeStartDate","A leave request whose end date precedes its start date is rejected","Example C: submit Assign Leave with To Date before From Date and expect the form to refuse it."
"passed","Sat Aug 22 17:56:32 EEST 2026","Sat Aug 22 17:56:38 EEST 2026","6277","OrangeHRM Full Regression","Employee Lifecycle","Tests.EmployeeTest","Tests.EmployeeTest","searchExistingEmployeeByName","Searching by name returns only employees matching that name","Step 2: an employee that already exists is located by name and every returned row is verified against the search criteria."
"passed","Sat Aug 22 18:00:42 EEST 2026","Sat Aug 22 18:00:48 EEST 2026","5743","OrangeHRM Full Regression","Negative Validation","Tests.NegativeTest","Tests.NegativeTest","invalidCredentialsAreRejected","Invalid credentials are rejected with a clear message","An additional negative scenario: a wrong password is refused, the user stays on the login page, and the message does not disclose which field was wrong."
"passed","Sat Aug 22 17:56:16 EEST 2026","Sat Aug 22 17:56:17 EEST 2026","1294","OrangeHRM Full Regression","Authentication","Tests.LoginTest","Tests.LoginTest","loginPageIsDisplayedWithAllControls","Login page renders with username, password and Login button","Step 1a: the login page and each of its three required controls are present."
"passed","Sat Aug 22 17:57:00 EEST 2026","Sat Aug 22 17:57:13 EEST 2026","12647","OrangeHRM Full Regression","Employee Lifecycle","Tests.EmployeeTest","Tests.EmployeeTest","editEmployeeInformation","Employee fields can be edited and the update is confirmed","Step 5: change first name and employee id to new values, save, and verify both the success notification and the values on screen."
